Epoch : 0 | Step : 1225 | Train Loss : 3.043920 | Val Loss : 2.846675
Epoch : 2 | Step : 1225 | Train Loss : 2.951135 | Val Loss : 2.767525
Epoch : 4 | Step : 1225 | Train Loss : 2.921884 | Val Loss : 2.724245
Epoch : 6 | Step : 1225 | Train Loss : 2.878844 | Val Loss : 2.719221
Epoch : 8 | Step : 1225 | Train Loss : 2.877088 | Val Loss : 2.656016
Epoch : 10 | Step : 1225 | Train Loss : 2.890997 | Val Loss : 2.684865
Epoch : 12 | Step : 1225 | Train Loss : 2.844127 | Val Loss : 2.658896
Epoch : 14 | Step : 1225 | Train Loss : 2.834930 | Val Loss : 2.640890
Epoch : 16 | Step : 1225 | Train Loss : 2.819143 | Val Loss : 2.643705
Epoch : 18 | Step : 1225 | Train Loss : 2.820595 | Val Loss : 2.632370
Epoch : 20 | Step : 1225 | Train Loss : 2.803371 | Val Loss : 2.628753
Epoch : 22 | Step : 1225 | Train Loss : 2.806105 | Val Loss : 2.620698
Epoch : 24 | Step : 1225 | Train Loss : 2.794521 | Val Loss : 2.614773
Epoch : 26 | Step : 1225 | Train Loss : 2.797110 | Val Loss : 2.623179
Epoch : 28 | Step : 1225 | Train Loss : 2.788509 | Val Loss : 2.590744
